aujourdhui;2015-09-01;2020-08-31;53000,00;4,00
2015-10-01;174,52
2015-11-01;180,35
2015-12-01;174,52
2016-01-01;180,35
2016-02-01;180,35
2016-03-01;168,69
2016-04-01;180,35
2016-05-01;174,52
2016-06-01;180,35
2016-07-01;174,52
2016-08-01;180,35
2016-09-01;180,35
2016-10-01;174,52
2016-11-01;180,35
2016-12-01;174,52
2017-01-01;180,35
2017-02-01;180,35
2017-03-01;162,86
2017-04-01;180,35
2017-04-14;500
2017-05-01;173,58
2017-05-12;1500
2017-06-01;175,38
2017-07-01;167,93
2017-08-01;173,54
2017-09-01;173,54
2017-10-01;167,93
2017-11-01;173,54
2017-12-01;167,93
2017-12-08;-2880
2017-12-18;-5000
2017-12-22;218,54
2018-01-05;748,04
2018-01-19;699,01
2018-02-16;725,98
